15  S..Z...GK..Q.AT rack=AGKQSTZ   score=1821 unchallenged game=1079 player=Aaron_Green
15  QQQQQ........QQ rack=ADEGIOW   score=1750 unchallenged game=16697 player=New_Player_1
15  .......QQQQ.QQQ rack=ADEGIOW   score=1199 unchallenged game=16697 player=New_Player_1
15  ...QQ.QQQQ..Q.. rack=ADEGIOW   score=1063 unchallenged game=16697 player=New_Player_1
 8  REBIND.D        rack=BDDEINR   score=  68 challenged   game=10875 player=Matthew_Larocque
 8  SEAF..ED        rack=ADEEFSS   score=  48 unchallenged game=10876 player=Matthew_Larocque
 8  .REDITER        rack=DEEIRRT   score=  74 unchallenged game=10877 player=Wesley_Yocom
 8  .ESPIRIT        rack=?EIRST    score=  92 challenged   game=10883 player=WILLY
 8  ANTIG.NT        rack=AGINNTT   score=  72 challenged   game=10886 player=Katya_Lezin
 8  TWIGG.NS        rack=?GGNSTW   score=  68 unchallenged game=10894 player=Evans_Clinchy
 8  CONGEN.D        rack=?DEGNNO   score=  61 unchallenged game=10900 player=Evans_Clinchy
 8  ABI.ALES        rack=AABEILS   score=  62 challenged   game=10912 player=Zbigniew_Wieckowski
 8  NEON.SER        rack=EENNORS   score= 122 challenged   game=10912 player=Zbigniew_Wieckowski
 8  SARA.ENS        rack=?AAENRS   score=  61 challenged   game=10914 player=Zbigniew_Wieckowski
 8  V.RMIANS        rack=AIMNRSV   score=  64 unchallenged game=10937 player=BENARD_A
 8  RES.RINT        rack=EINRRST   score=  60 challenged   game=10943 player=Nigel_Peltier
 8  .ANDARES        rack=?AAENRS   score=  80 unchallenged game=10952 player=Nigel_Peltier
 8  .EENAILS        rack=CEKOPRU   score=  77 challenged   game=10955 player=Lou
 8  CA.IFIED        rack=ACDEFII   score=  98 unchallenged game=10973 player=Stefan_Rau
 8  REDAN.ED        rack=ADDEENR   score=  63 challenged   game=11026 player=Devin
 8  .LUTENES        rack=EELNSTU   score=  61 challenged   game=11032 player=Zbigniew_Wieckowski
 8  .ACELETS        rack=ACEELST   score=  78 challenged   game=11034 player=Zbigniew_Wieckowski
 8  APYRO.ES        rack=AEOPRSY   score=  76 challenged   game=11038 player=Chuck_Riordan
 8  C.RAMATE        rack=AACEMRT   score= 185 challenged   game=11046 player=Nigel
 8  DOLORIT.        rack=?DILORT   score=  75 unchallenged game=11046 player=Nigel
 8  OVERTOL.        rack=ELOORTV   score=  67 challenged   game=11052 player=DeeJay
 8  UN.NVITE        rack=EINNTUV   score=  76 challenged   game=11063 player=Ryan_Fischer
 8  O.TFORGE        rack=?EGOORT   score=  66 challenged   game=11065 player=Martin_Weisskopf
 8  PINA.HES        rack=AEHINPS   score=  65 challenged   game=11069 player=Tim_Michaels
 8  TOADIES.        rack=ADEIOST   score=  62 challenged   game=11077 player=Fadlan_Satria
 8  PON.LIKE        rack=EIKLNOP   score=  69 unchallenged game=11081 player=Noah
 8  RECAS.ED        rack=ACDEERS   score=  76 challenged   game=11083 player=Chris_Cree
 8  GUTTER.L        rack=EGLRTTU   score=  60 unchallenged game=111 player=kate
 8  LIN.ATES        rack=AEILNST   score=  68 challenged   game=11100 player=Tim_Michaels
 8  TZA.ITSA        rack=AAISTTZ   score= 104 unchallenged game=11106 player=MIKKI
 8  H.VDALOT        rack=ADHLOTV   score= 107 challenged   game=11147 player=Peter_Armstrong
 8  KILNWO..        rack=BIKLNOW   score=  51 unchallenged game=11149 player=Noah
 8  KAROTEN.        rack=?AEKNOR   score=  94 challenged   game=11156 player=Nigel
 8  R.PICKED        rack=CDEIKPR   score=  77 challenged   game=11159 player=Winter
 8  FEVE.ENT        rack=EEEFNTV   score= 176 challenged   game=11162 player=Ed
 8  CR.ZEROS        rack=CEORRSZ   score= 311 challenged   game=11213 player=cesar
 8  .LABROID        rack=?ABDILR   score=  86 challenged   game=11233 player=darrell_day
 8  TAMBO.IN        rack=?ABMNOT   score=  94 unchallenged game=11234 player=lisa_odom
 8  GL.SINIC        rack=?CGIILS   score=  64 unchallenged game=11239 player=Darrell_Day
 8  .TRIDGIL        rack=?DGIILR   score=  83 challenged   game=11253 player=Evans_Clinchy
 8  FACET.GE        rack=ACEEFGT   score=  65 challenged   game=11269 player=Nigel
 8  REBOND.D        rack=BDDENOR   score=  74 unchallenged game=11270 player=Nigel
 8  PANIERE.        rack=?AEEINR   score=  87 unchallenged game=11270 player=Nigel
 8  GENUINE.        rack=EEGINNU   score=  61 challenged   game=1129 player=Evans
 8  BUNKRO.M        rack=?BMNORU   score=  72 unchallenged game=11290 player=Marty
 8  V.STIGAL        rack=?AGISTV   score=  76 challenged   game=11332 player=TL
 8  ENDO.INE        rack=DEEINNO   score=  63 challenged   game=11339 player=MQ
 8  NUCLEA.S        rack=ACELNSU   score=  64 challenged   game=11341 player=SO
 8  .EADLERS        rack=ADEELRS   score=  83 unchallenged game=11357 player=Matthew_Larocque
 8  ODOUR..G        rack=DGIOORU   score=  40 unchallenged game=11361 player=Matthew_Larocque
 8  GERMLES.        rack=EEGLMRS   score=  74 unchallenged game=11367 player=Matthew_Larocque
 8  F.EELAND        rack=ADEEFLN   score=  76 challenged   game=11389 player=Waseem_Khatri
 8  WHEATIN.        rack=AEHINTW   score=  90 challenged   game=11391 player=Christian_O.B
 8  WHEATIN.        rack=AEHINTW   score=  90 challenged   game=11392 player=Christian_O.B
 8  DE.VINGS        rack=?DEGISV   score=  98 unchallenged game=11398 player=esd
 8  CROOK.ER        rack=?EKOORR   score=  72 unchallenged game=11420 player=Mike
 8  CLA.HIER        rack=ACEHILR   score=  63 challenged   game=11430 player=Cason_Lane
 8  CABERET.        rack=ABCEERT   score=  78 challenged   game=11431 player=Elizabeth_Ralston
 8  .AMPWEAR        rack=AAEMPRW   score=  69 unchallenged game=11433 player=JD
 8  MANSIZE.        rack=?AEMNSZ   score= 128 challenged   game=11434 player=David_Slavin
 8  OVERME.N        rack=EEMNORV   score=  64 unchallenged game=11469 player=JD
 8  E.HOLIKE        rack=EEHIKLO   score=  71 challenged   game=11474 player=Matthew_Larocque
 8  METALO.S        rack=AELMOST   score=  62 challenged   game=1148 player=Quackle
 8  .EACONAL        rack=AACELNO   score=  83 challenged   game=11498 player=Joe_Petree
 8  AGATO.DS        rack=AADGOST   score=  63 unchallenged game=11504 player=Gunther_Jacobi
 8  TIME.OST        rack=EIMOSTT   score=  98 unchallenged game=11513 player=Jason_Ubieka
 8  UNDERAD.        rack=ADDENRU   score=  86 unchallenged game=11513 player=Matthew_O'Connor
 8  D.SANDER        rack=ADDENRS   score=  64 unchallenged game=11523 player=Nigel_Peltier
 8  UNPLATE.        rack=AELNPTU   score=  76 unchallenged game=11523 player=Kolton_Koehler
 8  REINTA.E        rack=?AEENRT   score=  65 unchallenged game=11536 player=Ross_Brown
 8  OVE.SPEC        rack=CEEOPSV   score=  79 challenged   game=11538 player=Ross_Brown
